File,True_Label,Predicted,Avg_F0,Std_F0,Avg_ZCR,Avg_Energy,Correct
G01_D01_C_11_Angry_C3.wav,Child,Child,255.97,37.31,1562.67,20.617949,True
G01_D01_C_11_Neutral_C1.wav,Child,Woman,243.93,39.53,1793.86,9.553555,False
G01_D01_C_11_Sad_C4.wav,Child,Woman,225.65,32.26,2534.16,12.69067,False
G01_D01_C_11_Surprised_C5.wav,Child,Child,317.66,41.76,3126.25,19.356927,True
G01_D02_M_18_Happy_C2.wav,Male,Woman,230.3,19.43,811.72,4.070483,False
G01_D02_M_18_Neutral_C1.wav,Male,Male,117.48,17.14,1820.83,2.022902,True
G01_D02_M_18_Sad_C4.wav,Male,Male,154.04,26.54,1340.27,2.517343,True
G01_D03_F_23_Angry_C3.wav,Woman,Child,269.54,59.15,2315.24,22.714302,False
G01_D04_M_20_Angry_C3.wav,Male,Male,109.72,10.4,998.8,24.886781,True
G01_D04_M_20_Neutral_C1.wav,Male,Male,115.56,26.98,1287.27,18.270338,True
G01_D04_M_20_Sad_C4.wav,Male,Male,117.85,31.31,1243.43,17.660356,True
G01_D05_F_20_Happy_C2.wav,Woman,Child,285.8,39.47,2569.62,13.936525,False
G01_D05_F_20_Sad_C4.wav,Woman,Woman,237.32,42.14,2619.11,9.613525,True
G01_D06_F_29_Angry_C3.wav,Woman,Child,343.35,68.15,2937.03,16.402168,False
G01_D06_F_29_Happy_C2.wav,Woman,Child,357.56,71.83,2067.6,11.105977,False
G01_D06_F_29_Sad_C4.wav,Woman,Woman,239.85,34.89,2833.28,2.564191,True
G01_D07_F_25_Neutral_C1.wav,Woman,Child,287.39,48.49,2362.98,5.544757,False
G01_D07_F_25_Sad_C4.wav,Woman,Child,266.72,45.55,2682.89,4.296433,False
G01_D07_F_25_Surprised_C5.wav,Woman,Child,418.51,67.65,5154.07,13.415661,False
G01_D08_C_14_Happy_C2.wav,Child,Woman,188.55,58.44,1299.31,40.044343,False
G01_D08_C_14_Neutral_C1.wav,Child,Woman,227.41,112.77,1543.0,32.329943,False
G01_D08_C_14_Surprised_C5.wav,Child,Male,155.04,32.19,2944.62,27.79517,False
G03_D01_C_10_Shocked_C5.wav,Child,Child,427.9,48.56,6188.46,16.560889,True
G03_D01_C_10_Happy_C2.wav,Child,Child,419.85,66.92,3138.43,36.807699,True
G03_D01_C_10_Sad_C4.wav,Child,Child,395.7,81.62,3978.52,22.26006,True
G03_D02_F_45_Furious_C3.wav,Woman,Child,303.09,39.41,5240.62,10.526781,False
G03_D02_F_45_Happy_C2.wav,Woman,Child,267.65,38.46,2739.92,9.043422,False
G03_D02_F_45_Sad_C4.wav,Woman,Woman,249.85,32.89,2735.92,2.603226,True
G03_D03_M_50_Furious_C3.wav,Male,Woman,170.28,34.93,1787.96,15.58498,False
G03_D03_M_50_Happy_C2.wav,Male,Woman,194.62,40.04,1422.2,19.232029,False
G03_D03_M_50_Neutral_C1.wav,Male,Male,140.44,30.66,2588.35,3.71927,True
G03_D04_M_23_Furious_C3.wav,Male,Male,118.95,22.84,1251.5,3.911586,True
G03_D04_M_23_Happy_C2.wav,Male,Male,133.47,46.4,1262.11,2.607821,True
G03_D04_M_23_Sad_C4.wav,Male,Male,120.37,26.77,1429.79,1.982232,True
G03_D05_F_22_Furious_C3.wav,Woman,Child,263.96,36.54,4377.74,31.292201,False
G03_D05_F_22_Neutral_C1.wav,Woman,Woman,239.27,33.78,3059.18,11.053586,True
G03_D05_F_22_Sad_C4.wav,Woman,Woman,246.52,40.26,3327.16,21.593888,True
G03_D06_C_11_Furious_C3.wav,Child,Child,426.51,55.0,4757.38,24.390934,True
G03_D06_C_11_Shocked_C5.wav,Child,Child,367.89,67.66,6356.3,35.170563,True
G03_D06_C_11_Happy_C2.wav,Child,Child,383.55,61.17,4442.58,24.210333,True
G04_D01_M_20_Neutral_C1.wav,Male,Male,108.92,25.52,2363.35,0.714485,True
G04_D01_M_20_Happy_C2.wav,Male,Male,153.34,47.47,1647.66,0.283422,True
G04_D01_M_20_Furious_C3.wav,Male,Woman,168.34,22.65,2399.83,1.624011,False
G04_D02_M_21_Neutral_C1.wav,Male,Male,162.22,17.18,2282.89,14.32135,True
G04_D02_M_21_Happy_C2.wav,Male,Woman,167.34,10.66,1910.17,9.1857,False
G04_D02_M_21_Furious_C3.wav,Male,Woman,190.33,26.51,2050.9,6.718079,False
G04_D03_F_21_Sad_C4.wav,Woman,Woman,208.61,19.52,2394.05,0.716427,True
G04_D03_F_21_Happy_C2.wav,Woman,Child,273.39,31.9,1292.81,2.296949,False
